"Index" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted"
"2016-01-04" "2016-01-04" 25.6525001525879 26.3425006866455 25.5 26.3374996185303 270597600 24.0090637207031
"2016-01-05" "2016-01-05" 26.4375 26.4624996185303 25.6025009155273 25.6774997711182 223164000 23.4074153900146
"2016-01-06" "2016-01-06" 25.1399993896484 25.5925006866455 24.9675006866455 25.1749992370605 273829600 22.9493389129639
"2016-01-07" "2016-01-07" 24.6700000762939 25.0324993133545 24.1075000762939 24.1124992370605 324377600 21.9807720184326
"2016-01-08" "2016-01-08" 24.6375007629395 24.7775001525879 24.1900005340576 24.2399997711182 283192000 22.0970001220703
"2016-01-11" "2016-01-11" 24.7425003051758 24.7649993896484 24.3349990844727 24.6324996948242 198957600 22.4548034667969
"2016-01-12" "2016-01-12" 25.1375007629395 25.1725006103516 24.7099990844727 24.9899997711182 196616800 22.7806968688965
"2016-01-13" "2016-01-13" 25.0799999237061 25.2975006103516 24.3250007629395 24.3474998474121 249758400 22.194995880127
"2016-01-14" "2016-01-14" 24.4899997711182 25.1200008392334 23.9349994659424 24.8799991607666 252680400 22.6804122924805
"2016-01-15" "2016-01-15" 24.0499992370605 24.4274997711182 23.8400001525879 24.2824993133545 319335600 22.1357402801514
"2016-01-19" "2016-01-19" 24.6025009155273 24.6625003814697 23.875 24.1650009155273 212350800 22.0286331176758
"2016-01-20" "2016-01-20" 23.7749996185303 24.5475006103516 23.3549995422363 24.1975002288818 289337600 22.058256149292
"2016-01-21" "2016-01-21" 24.2649993896484 24.4699993133545 23.7350006103516 24.0750007629395 208646000 21.9465885162354
"2016-01-22" "2016-01-22" 24.6574993133545 25.3649997711182 24.5925006866455 25.3549995422363 263202000 23.1134223937988
"2016-01-25" "2016-01-25" 25.3799991607666 25.3824996948242 24.8024997711182 24.8600006103516 207178000 22.6621913909912
"2016-01-26" "2016-01-26" 24.9825000762939 25.2199993133545 24.5174999237061 24.9974994659424 300308000 22.7875366210938
"2016-01-27" "2016-01-27" 24.0100002288818 24.1574993133545 23.3349990844727 23.3549995422363 533478800 21.2902374267578
"2016-01-28" "2016-01-28" 23.4475002288818 23.6299991607666 23.0974998474121 23.5224990844727 222715200 21.4429264068604
"2016-01-29" "2016-01-29" 23.6975002288818 24.3349990844727 23.5874996185303 24.3349990844727 257666000 22.1835975646973
"2016-02-01" "2016-02-01" 24.1175003051758 24.1774997711182 23.8500003814697 24.1075000762939 163774000 21.9762115478516
"2016-02-02" "2016-02-02" 23.8549995422363 24.0100002288818 23.5699996948242 23.6200008392334 149428800 21.5318145751953
"2016-02-03" "2016-02-03" 23.75 24.2099990844727 23.5200004577637 24.0874996185303 183857200 21.957986831665
"2016-02-04" "2016-02-04" 23.9650001525879 24.3325004577637 23.7975006103516 24.1499996185303 185886800 22.1344108581543
"2016-02-05" "2016-02-05" 24.1299991607666 24.2299995422363 23.4225006103516 23.5049991607666 185672400 21.5432472229004
"2016-02-08" "2016-02-08" 23.2824993133545 23.9249992370605 23.2600002288818 23.7525005340576 216085600 21.7700901031494
"2016-02-09" "2016-02-09" 23.5725002288818 23.9850006103516 23.4825000762939 23.7474994659424 177324800 21.7655086517334
"2016-02-10" "2016-02-10" 23.9799995422363 24.0874996185303 23.5249996185303 23.5674991607666 169374400 21.6005229949951
"2016-02-11" "2016-02-11" 23.4475002288818 23.6800003051758 23.1474990844727 23.4249992370605 200298800 21.4699287414551
"2016-02-12" "2016-02-12" 23.5475006103516 23.625 23.2525005340576 23.4974994659424 161405600 21.5363693237305
"2016-02-16" "2016-02-16" 23.7549991607666 24.2124996185303 23.6525001525879 24.1599998474121 196231600 22.1435775756836
"2016-02-17" "2016-02-17" 24.1674995422363 24.5524997711182 24.0375003814697 24.5300006866455 179452800 22.4826965332031
"2016-02-18" "2016-02-18" 24.7099990844727 24.7224998474121 24.0224990844727 24.0650005340576 156084000 22.056510925293
"2016-02-19" "2016-02-19" 24 24.1900005340576 23.9500007629395 24.0100002288818 141496800 22.006103515625
"2016-02-22" "2016-02-22" 24.0774993896484 24.2250003814697 23.9799995422363 24.2199993133545 137123200 22.1985740661621
"2016-02-23" "2016-02-23" 24.1000003814697 24.125 23.6375007629395 23.6725006103516 127770400 21.6967678070068
"2016-02-24" "2016-02-24" 23.4950008392334 24.0949993133545 23.3299999237061 24.0249996185303 145022800 22.0198516845703
"2016-02-25" "2016-02-25" 24.0125007629395 24.1900005340576 23.8125 24.1900005340576 110330800 22.1710777282715
"2016-02-26" "2016-02-26" 24.2999992370605 24.5049991607666 24.1450004577637 24.2275009155273 115964400 22.2054481506348
"2016-02-29" "2016-02-29" 24.2150001525879 24.5575008392334 24.1625003814697 24.1725006103516 140865200 22.1550331115723
"2016-03-01" "2016-03-01" 24.4125003814697 25.1924991607666 24.3549995422363 25.1324996948242 201628400 23.034912109375
"2016-03-02" "2016-03-02" 25.1275005340576 25.2224998474121 24.9099998474121 25.1875 132678400 23.0853271484375
"2016-03-03" "2016-03-03" 25.1450004577637 25.4274997711182 25.1124992370605 25.375 147822800 23.257173538208
"2016-03-04" "2016-03-04" 25.5925006866455 25.9375 25.3425006866455 25.7525005340576 184220400 23.6031703948975
"2016-03-07" "2016-03-07" 25.5974998474121 25.7075004577637 25.2399997711182 25.4675006866455 143315600 23.3419551849365
"2016-03-08" "2016-03-08" 25.1949996948242 25.4400005340576 25.1000003814697 25.2574996948242 126247600 23.1494827270508
"2016-03-09" "2016-03-09" 25.3274993896484 25.3950004577637 25.0674991607666 25.2800006866455 108806800 23.1701049804688
"2016-03-10" "2016-03-10" 25.3525009155273 25.5599994659424 25.0375003814697 25.2924995422363 134054400 23.1815605163574
"2016-03-11" "2016-03-11" 25.5599994659424 25.5699996948242 25.375 25.5650005340576 109632800 23.4313163757324
"2016-03-14" "2016-03-14" 25.4775009155273 25.7275009155273 25.4449996948242 25.6299991607666 100304400 23.490894317627
"2016-03-15" "2016-03-15" 25.9899997711182 26.2950000762939 25.9624996185303 26.1450004577637 160270800 23.9629154205322
"2016-03-16" "2016-03-16" 26.1525001525879 26.5774993896484 26.1474990844727 26.4925003051758 153214000 24.2814064025879
"2016-03-17" "2016-03-17" 26.3799991607666 26.6175003051758 26.2399997711182 26.4500007629395 137682800 24.2424545288086
"2016-03-18" "2016-03-18" 26.5849990844727 26.625 26.2975006103516 26.4799995422363 176820800 24.2699508666992
"2016-03-21" "2016-03-21" 26.4825000762939 26.9125003814697 26.2849998474121 26.4775009155273 142010800 24.2676620483398
"2016-03-22" "2016-03-22" 26.3125 26.8225002288818 26.3024997711182 26.6800003051758 129777600 24.4532604217529
"2016-03-23" "2016-03-23" 26.6200008392334 26.7674999237061 26.4750003814697 26.5324993133545 102814000 24.3180694580078
"2016-03-24" "2016-03-24" 26.3675003051758 26.5625 26.2224998474121 26.4174995422363 104532000 24.2126731872559
"2016-03-28" "2016-03-28" 26.5 26.5475006103516 26.2649993896484 26.2975006103516 77645600 24.1026821136475
"2016-03-29" "2016-03-29" 26.2224998474121 26.9475002288818 26.2199993133545 26.9200000762939 124760400 24.6732234954834
"2016-03-30" "2016-03-30" 27.1625003814697 27.6049995422363 27.1499996185303 27.3899993896484 182404400 25.1040019989014
"2016-03-31" "2016-03-31" 27.4300003051758 27.4750003814697 27.2199993133545 27.2474994659424 103553600 24.9733924865723
"2016-04-01" "2016-04-01" 27.1949996948242 27.5 27.0499992370605 27.4974994659424 103496000 25.2025279998779
"2016-04-04" "2016-04-04" 27.6049995422363 28.0475006103516 27.5674991607666 27.7800006866455 149424800 25.4614524841309
"2016-04-05" "2016-04-05" 27.3775005340576 27.6825008392334 27.3549995422363 27.4524993896484 106314800 25.161283493042
"2016-04-06" "2016-04-06" 27.5575008392334 27.7450008392334 27.2999992370605 27.7399997711182 105616400 25.4247875213623
"2016-04-07" "2016-04-07" 27.4874992370605 27.6049995422363 27.0300006866455 27.1350002288818 127207600 24.8702831268311
"2016-04-08" "2016-04-08" 27.2275009155273 27.4424991607666 27.0424995422363 27.1650009155273 94326800 24.8977794647217
"2016-04-11" "2016-04-11" 27.2425003051758 27.6525001525879 27.2075004577637 27.2549991607666 117630000 24.9802703857422
"2016-04-12" "2016-04-12" 27.3349990844727 27.625 27.1650009155273 27.6100006103516 108929200 25.3056411743164
"2016-04-13" "2016-04-13" 27.7000007629395 28.0849990844727 27.7000007629395 28.0100002288818 133029200 25.6722545623779
"2016-04-14" "2016-04-14" 27.9050006866455 28.0974998474121 27.8325004577637 28.0249996185303 101895600 25.6860046386719
"2016-04-15" "2016-04-15" 28.0275001525879 28.0750007629395 27.4325008392334 27.4624996185303 187756000 25.1704483032227
"2016-04-18" "2016-04-18" 27.2224998474121 27.2374992370605 26.7350006103516 26.8700008392334 243286000 24.6274032592773
"2016-04-19" "2016-04-19" 26.9699993133545 27 26.5575008392334 26.7275009155273 129539600 24.4967937469482
"2016-04-20" "2016-04-20" 26.6599998474121 27.0224990844727 26.5149993896484 26.7824993133545 122444000 24.5472049713135
"2016-04-21" "2016-04-21" 26.7325000762939 26.7325000762939 26.3799991607666 26.4925003051758 126210000 24.2814064025879
"2016-04-22" "2016-04-22" 26.2525005340576 26.6200008392334 26.1550006866455 26.4200000762939 134732400 24.214958190918
"2016-04-25" "2016-04-25" 26.25 26.4125003814697 26.1275005340576 26.2700004577637 112126400 24.0774803161621
"2016-04-26" "2016-04-26" 25.9775009155273 26.3250007629395 25.9775009155273 26.0874996185303 224064800 23.9102058410645
"2016-04-27" "2016-04-27" 24 24.6774997711182 23.9200000762939 24.4549999237061 458408400 22.4139595031738
"2016-04-28" "2016-04-28" 24.4025001525879 24.4699993133545 23.5625 23.7075004577637 328970800 21.7288436889648
"2016-04-29" "2016-04-29" 23.4974994659424 23.6800003051758 23.1275005340576 23.4349994659424 274126000 21.4790878295898
"2016-05-02" "2016-05-02" 23.4925003051758 23.5200004577637 23.1000003814697 23.4099998474121 192640400 21.4561748504639
"2016-05-03" "2016-05-03" 23.5499992370605 23.9349994659424 23.4200000762939 23.7950000762939 227325200 21.8090419769287
"2016-05-04" "2016-05-04" 23.7999992370605 23.9750003814697 23.4549999237061 23.5475006103516 164102000 21.5821952819824
"2016-05-05" "2016-05-05" 23.5 23.5174999237061 23.1700000762939 23.3099994659424 143562000 21.4945964813232
"2016-05-06" "2016-05-06" 23.3425006866455 23.3624992370605 22.9624996185303 23.1800003051758 174799600 21.3747234344482
"2016-05-09" "2016-05-09" 23.25 23.4424991607666 23.1474990844727 23.1975002288818 131745600 21.3908653259277
"2016-05-10" "2016-05-10" 23.3325004577637 23.3924999237061 23.0275001525879 23.3549995422363 134747200 21.5360946655273
"2016-05-11" "2016-05-11" 23.3700008392334 23.3924999237061 23.1149997711182 23.1275005340576 114876400 21.3263111114502
"2016-05-12" "2016-05-12" 23.1800003051758 23.1949996948242 22.3675003051758 22.5849990844727 305258800 20.8260612487793
"2016-05-13" "2016-05-13" 22.5 22.9174995422363 22.5 22.6299991607666 177571200 20.8675594329834
"2016-05-16" "2016-05-16" 23.0974998474121 23.5974998474121 22.9125003814697 23.4699993133545 245039200 21.6421394348145
"2016-05-17" "2016-05-17" 23.6375007629395 23.6749992370605 23.2525005340576 23.3724994659424 187667600 21.5522327423096
"2016-05-18" "2016-05-18" 23.5400009155273 23.8024997711182 23.4724998474121 23.6399993896484 168249600 21.7988948822021
"2016-05-19" "2016-05-19" 23.6599998474121 23.6599998474121 23.3924999237061 23.5499992370605 121768400 21.7159080505371
"2016-05-20" "2016-05-20" 23.6599998474121 23.8575000762939 23.6299991607666 23.8050003051758 128104000 21.9510498046875
"2016-05-23" "2016-05-23" 23.9675006866455 24.2975006103516 23.9174995422363 24.1075000762939 152074400 22.2299880981445
"2016-05-24" "2016-05-24" 24.3050003051758 24.5224990844727 24.2099990844727 24.4750003814697 140560800 22.5688724517822
"2016-05-25" "2016-05-25" 24.6674995422363 24.9349994659424 24.5275001525879 24.9050006866455 152675200 22.9653778076172
"2016-05-26" "2016-05-26" 24.9200000762939 25.1825008392334 24.6599998474121 25.1025009155273 225324800 23.1475009918213
"2016-05-27" "2016-05-27" 24.8600006103516 25.1175003051758 24.8125 25.0874996185303 145364800 23.1336708068848
"2016-05-31" "2016-05-31" 24.8999996185303 25.1000003814697 24.7049999237061 24.9650001525879 169228800 23.0207118988037
"2016-06-01" "2016-06-01" 24.7549991607666 24.8850002288818 24.5825004577637 24.6149997711182 116693200 22.697961807251
"2016-06-02" "2016-06-02" 24.3999996185303 24.4599990844727 24.1574993133545 24.4300003051758 160766400 22.5273723602295
"2016-06-03" "2016-06-03" 24.4475002288818 24.5674991607666 24.3624992370605 24.4799995422363 114019600 22.5734825134277
"2016-06-06" "2016-06-06" 24.4974994659424 25.4724998474121 24.3875007629395 24.6574993133545 93170000 22.7371578216553
"2016-06-07" "2016-06-07" 24.8125 24.9675006866455 24.7399997711182 24.7574996948242 89638000 22.8293685913086
"2016-06-08" "2016-06-08" 24.7549991607666 24.8899993896484 24.6700000762939 24.7350006103516 83392400 22.8086223602295
"2016-06-09" "2016-06-09" 24.625 24.9974994659424 24.6149997711182 24.9125003814697 106405600 22.9722919464111
"2016-06-10" "2016-06-10" 24.6324996948242 24.8374996185303 24.6200008392334 24.7075004577637 126851600 22.7832565307617
"2016-06-13" "2016-06-13" 24.6725006103516 24.7800006866455 24.2749996185303 24.3349990844727 152082000 22.439769744873
"2016-06-14" "2016-06-14" 24.3299999237061 24.6200008392334 24.1875 24.3649997711182 127727600 22.4674377441406
"2016-06-15" "2016-06-15" 24.4549999237061 24.6025009155273 24.2574996948242 24.2849998474121 117780800 22.3936614990234
"2016-06-16" "2016-06-16" 24.1124992370605 24.4375 24.0174999237061 24.3875007629395 125307200 22.4881820678711
"2016-06-17" "2016-06-17" 24.1550006866455 24.1625003814697 23.8250007629395 23.8325004577637 244032800 21.9764060974121
"2016-06-20" "2016-06-20" 24 24.1424999237061 23.7574996948242 23.7749996185303 137647600 21.9233837127686
"2016-06-21" "2016-06-21" 23.7350006103516 24.0874996185303 23.6700000762939 23.9775009155273 142185600 22.110107421875
"2016-06-22" "2016-06-22" 24.0625 24.2224998474121 23.8374996185303 23.8875007629395 116876400 22.0271224975586
"2016-06-23" "2016-06-23" 23.9850006103516 24.0725002288818 23.8125 24.0249996185303 128960800 22.1539115905762
